kernel,module,batch,seq_len,hidden,intermediate,median_ms,p10_ms,p90_ms,min_ms,n_iters,dtype
fused_rmsnorm_linear,RMSNormLinear,8,1024,2048,8192,6.8152,6.407,7.0894,6.3679,200,bfloat16
naive_rmsnorm,RMSNorm,1,128,4096,11008,0.0326,0.008,0.0359,0.0072,200,bfloat16
fused_rmsnorm_linear,RMSNormLinear,1,128,4096,11008,0.4357,0.4168,0.4756,0.4076,200,bfloat16
naive_rmsnorm,RMSNorm,1,256,4096,11008,0.0512,0.0122,0.076,0.0113,200,bfloat16
fused_rmsnorm_linear,RMSNormLinear,1,256,4096,11008,0.5837,0.5806,0.6103,0.5775,200,bfloat16
naive_rmsnorm,RMSNorm,1,512,4096,11008,0.0164,0.0164,0.0322,0.0154,200,bfloat16
fused_rmsnorm_linear,RMSNormLinear,1,512,4096,11008,1.0916,1.0762,1.144,1.0739,200,bfloat16
naive_rmsnorm,RMSNorm,1,2048,4096,11008,0.0614,0.0591,0.0644,0.0562,200,bfloat16
fused_rmsnorm_linear,RMSNormLinear,1,2048,4096,11008,4.3249,4.2761,4.8091,4.2545,200,bfloat16
naive_rmsnorm,RMSNorm,4,512,4096,11008,0.0641,0.0591,0.0971,0.056,200,bfloat16
fused_rmsnorm_linear,RMSNormLinear,4,512,4096,11008,4.3092,4.2793,4.7571,4.2578,200,bfloat16
naive_rmsnorm,RMSNorm,4,2048,4096,11008,0.5356,0.515,0.5754,0.512,200,bfloat16
fused_rmsnorm_linear,RMSNormLinear,4,2048,4096,11008,16.597,16.5755,17.8598,16.5714,200,bfloat16
naive_rmsnorm,RMSNorm,8,1024,4096,11008,0.5335,0.514,0.5822,0.511,200,bfloat16
fused_rmsnorm_linear,RMSNormLinear,8,1024,4096,11008,16.5929,16.5755,17.8841,16.5704,200,bfloat16
