module,batch,seq_len,hidden,intermediate,median_ms,p10_ms,p90_ms,min_ms,n_iters,dtype
RMSNormLinear,4,512,4096,11008,4.4238,4.4018,4.5585,4.3663,200,float16
RMSNormMLP,4,512,4096,11008,8.8907,8.8566,9.0609,8.841,200,float16
RMSNorm,4,2048,4096,11008,1.8685,1.8412,1.9006,1.8194,200,float16
RMSNormLinear,4,2048,4096,11008,17.9307,17.8533,18.1261,17.84,200,float16
RMSNormMLP,4,2048,4096,11008,35.7518,35.6679,36.1361,35.5942,200,float16
RMSNorm,8,1024,4096,11008,1.8647,1.8432,1.9109,1.8227,200,float16
RMSNormLinear,8,1024,4096,11008,17.9031,17.8492,18.0681,17.836,200,float16
RMSNormMLP,8,1024,4096,11008,35.747,35.669,36.1298,35.6024,200,float16
RMSNorm,1,128,1024,4096,0.0782,0.0688,0.2222,0.0635,200,bfloat16
RMSNormLinear,1,128,1024,4096,0.1219,0.1167,0.2568,0.1096,200,bfloat16
RMSNormMLP,1,128,1024,4096,0.1567,0.1546,0.1722,0.0911,200,bfloat16
RMSNorm,1,256,1024,4096,0.0708,0.0666,0.087,0.0655,200,bfloat16
RMSNormLinear,1,256,1024,4096,0.1751,0.1511,0.1924,0.0727,200,bfloat16
RMSNormMLP,1,256,1024,4096,0.2066,0.1955,0.2253,0.1504,200,bfloat16
RMSNorm,1,512,1024,4096,0.2152,0.1122,0.2635,0.0709,200,bfloat16
RMSNormLinear,1,512,1024,4096,0.2229,0.1925,0.3334,0.1266,200,bfloat16
RMSNormMLP,1,512,1024,4096,0.3388,0.3221,0.3616,0.2417,200,bfloat16
RMSNorm,1,2048,1024,4096,0.2089,0.1996,0.2575,0.0819,200,bfloat16
RMSNormLinear,1,2048,1024,4096,0.5059,0.4905,0.5336,0.4485,200,bfloat16
RMSNormMLP,1,2048,1024,4096,1.0179,1.0075,1.0702,0.983,200,bfloat16
RMSNorm,4,512,1024,4096,0.0782,0.0743,0.2018,0.0676,200,bfloat16
RMSNormLinear,4,512,1024,4096,0.5192,0.4922,0.6768,0.4854,200,bfloat16
RMSNormMLP,4,512,1024,4096,1.0284,1.0066,1.0815,0.9953,200,bfloat16
RMSNorm,4,2048,1024,4096,0.2796,0.2683,0.298,0.2611,200,bfloat16
RMSNormLinear,4,2048,1024,4096,1.8245,1.8042,1.8502,1.793,200,bfloat16
RMSNormMLP,4,2048,1024,4096,3.8666,3.8389,3.9332,3.8144,200,bfloat16
RMSNorm,8,1024,1024,4096,0.2744,0.267,0.2888,0.2619,200,bfloat16
RMSNormLinear,8,1024,1024,4096,1.8186,1.8012,1.8532,1.7869,200,bfloat16
RMSNormMLP,8,1024,1024,4096,3.8723,3.8458,3.919,3.8187,200,bfloat16
RMSNorm,1,128,2048,8192,0.0726,0.0696,0.0937,0.0626,200,bfloat16
